"Time differences (ps)"	"Counts per bin"
-200000	137
-199000	143
-198000	160
-197000	145
-196000	149
-195000	133
-194000	126
-193000	146
-192000	142
-191000	152
-190000	148
-189000	155
-188000	138
-187000	146
-186000	136
-185000	149
-184000	134
-183000	143
-182000	120
-181000	138
-180000	120
-179000	129
-178000	137
-177000	154
-176000	122
-175000	130
-174000	124
-173000	142
-172000	122
-171000	144
-170000	149
-169000	144
-168000	127
-167000	152
-166000	133
-165000	148
-164000	162
-163000	153
-162000	175
-161000	159
-160000	141
-159000	142
-158000	121
-157000	146
-156000	141
-155000	143
-154000	122
-153000	127
-152000	120
-151000	132
-150000	128
-149000	147
-148000	123
-147000	146
-146000	128
-145000	140
-144000	129
-143000	144
-142000	141
-141000	120
-140000	130
-139000	142
-138000	130
-137000	138
-136000	130
-135000	143
-134000	149
-133000	142
-132000	174
-131000	180
-130000	126
-129000	140
-128000	131
-127000	120
-126000	144
-125000	131
-124000	146
-123000	127
-122000	144
-121000	136
-120000	131
-119000	120
-118000	154
-117000	149
-116000	135
-115000	147
-114000	149
-113000	158
-112000	163
-111000	129
-110000	151
-109000	132
-108000	134
-107000	145
-106000	152
-105000	141
-104000	139
-103000	142
-102000	150
-101000	140
-100000	130
-99000	136
-98000	133
-97000	128
-96000	134
-95000	126
-94000	127
-93000	157
-92000	132
-91000	133
-90000	138
-89000	131
-88000	113
-87000	133
-86000	132
-85000	132
-84000	148
-83000	145
-82000	130
-81000	131
-80000	126
-79000	143
-78000	132
-77000	146
-76000	133
-75000	140
-74000	129
-73000	131
-72000	140
-71000	126
-70000	130
-69000	143
-68000	149
-67000	131
-66000	124
-65000	122
-64000	154
-63000	119
-62000	147
-61000	144
-60000	152
-59000	128
-58000	110
-57000	149
-56000	139
-55000	130
-54000	153
-53000	137
-52000	126
-51000	149
-50000	154
-49000	123
-48000	147
-47000	127
-46000	119
-45000	138
-44000	135
-43000	144
-42000	141
-41000	148
-40000	132
-39000	128
-38000	144
-37000	154
-36000	131
-35000	132
-34000	140
-33000	131
-32000	138
-31000	126
-30000	142
-29000	129
-28000	144
-27000	142
-26000	140
-25000	152
-24000	135
-23000	131
-22000	139
-21000	134
-20000	116
-19000	111
-18000	133
-17000	130
-16000	117
-15000	136
-14000	132
-13000	135
-12000	134
-11000	123
-10000	113
-9000	118
-8000	133
-7000	117
-6000	137
-5000	116
-4000	105
-3000	108
-2000	123
-1000	122
0	112
1000	116
2000	113
3000	124
4000	126
5000	112
6000	108
7000	110
8000	109
9000	114
10000	120
11000	143
12000	122
13000	141
14000	132
15000	106
16000	127
17000	127
18000	128
19000	148
20000	122
21000	146
22000	131
23000	125
24000	160
25000	126
26000	134
27000	132
28000	148
29000	122
30000	144
31000	152
32000	139
33000	152
34000	129
35000	137
36000	142
37000	121
38000	162
39000	126
40000	140
41000	138
42000	131
43000	137
44000	118
45000	134
46000	155
47000	121
48000	122
49000	158
50000	141
51000	157
52000	147
53000	137
54000	136
55000	134
56000	149
57000	123
58000	142
59000	136
60000	111
61000	128
62000	133
63000	142
64000	162
65000	148
66000	134
67000	148
68000	132
69000	126
70000	128
71000	139
72000	120
73000	143
74000	124
75000	128
76000	139
77000	160
78000	149
79000	132
80000	155
81000	141
82000	138
83000	133
84000	146
85000	147
86000	137
87000	133
88000	135
89000	118
90000	149
91000	131
92000	148
93000	132
94000	157
95000	160
96000	139
97000	134
98000	138
99000	119
100000	176
101000	118
102000	154
103000	155
104000	141
105000	118
106000	152
107000	119
108000	149
109000	161
110000	131
111000	114
112000	135
113000	121
114000	129
115000	147
116000	121
117000	125
118000	157
119000	130
120000	136
121000	137
122000	146
123000	145
124000	135
125000	138
126000	130
127000	124
128000	119
129000	147
130000	134
131000	146
132000	128
133000	127
134000	134
135000	134
136000	152
137000	132
138000	139
139000	140
140000	150
141000	153
142000	142
143000	142
144000	150
145000	144
146000	149
147000	127
148000	124
149000	145
150000	136
151000	133
152000	147
153000	131
154000	145
155000	161
156000	128
157000	149
158000	127
159000	119
160000	136
161000	153
162000	136
163000	129
164000	145
165000	140
166000	134
167000	167
168000	142
169000	142
170000	127
171000	140
172000	136
173000	154
174000	145
175000	140
176000	125
177000	142
178000	148
179000	126
180000	130
181000	145
182000	132
183000	125
184000	136
185000	152
186000	141
187000	159
188000	152
189000	145
190000	134
191000	127
192000	148
193000	142
194000	130
195000	155
196000	128
197000	136
198000	125
199000	144
